city,years,area,rooms,price,avg_heat_per_m,created_at,updated_at,url
Klaipėda,1964,44,2,69900,,2019-09-10,2019-11-25,https://www.aruodas.lt/butai-klaipedoje-centre-sausio-15-osios-g-parduodamas-suremontuotas-butas-butas-yra-1-2781739/
Druskininkų m.,2015,"40,01",1,56325,,2018-11-26,2019-12-03,https://www.aruodas.lt/butai-druskininkuose-merkines-g-statytojas-be-tarpininku-parduoda-nauja-1-2635935/
Vilnius,2015,"45,9",2,82000,"15,61",2019-12-03,2019-12-03,https://www.aruodas.lt/butai-vilniuje-bajoruose-bajoru-kel-parduodamas-jaukiai-irengtas-2-kambariu-butas-1-2823761/
Klaipėda,1989,67,3,81500,,2019-11-25,2019-12-03,https://www.aruodas.lt/butai-klaipedoje-misko-mikrorajone-kretingos-g-parduodamas-galimas-keitimas-1-2809709/
Vilnius,1910,74,3,182040,"94,72",2019-11-29,2019-12-03,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-j-basanaviciaus-g-parduodamas-butas-istoriniame-name-vilniaus-1-2821785/
Palanga,2019,"53,7",3,149000,,2019-09-24,2019-12-03,https://www.aruodas.lt/butai-palangoje-vanagupes-g-vanagupes-parkas-naujos-statybos-gyvenamuju-1-2781615/
Palanga,2019,"66,53",3,250000,,2019-11-18,2019-12-03,https://www.aruodas.lt/butai-palangoje-vanagupes-g-vanagupes-parkas-naujos-statybos-gyvenamuju-1-2813997/
Palanga,2019,"36,14",2,126000,,2019-10-28,2019-12-03,https://www.aruodas.lt/butai-palangoje-maironio-g-maironio-namai-naujas-projektas-palangos-1-2777421/
Palanga,2019,"39,17",2,104000,,2019-12-02,2019-12-03,https://www.aruodas.lt/butai-palangoje-maironio-g-maironio-namai-naujas-projektas-palangos-1-2795979/
Kaunas,1969,48,2,54200,,2019-11-26,2019-11-26,https://www.aruodas.lt/butai-kaune-zaliakalnyje-taikos-pr-parduodamas-tvarkingas-2-ju-kambariu-butas-1-2819901/
Palanga,2019,"35,48",2,135000,,2019-09-12,2019-12-03,https://www.aruodas.lt/butai-palangoje-vanagupes-g-vanagupes-parkas-naujos-statybos-gyvenamuju-1-2781607/
Palanga,2013,"61,53",3,105000,,2019-10-08,2019-12-02,https://www.aruodas.lt/butai-palangoje-zemaiciu-g-parduodamas-irengtas-6153-kv-m-3-kambariu-1-2796147/
Vilnius,2009,60,3,115000,,2019-09-23,2019-12-03,https://www.aruodas.lt/butai-vilniuje-naujininkuose-liepkalnio-g-parduodamas-kotedzas-senamiescio-kaimynysteje-1-2788087/
Vilnius,2009,60,3,115000,,2019-09-23,2019-12-03,https://www.aruodas.lt/butai-vilniuje-senamiestyje-liepkalnio-g-parduodamas-kotedzas-senamiescio-kaimynysteje-1-2788089/
Vilnius,2017,51,2,129000,"10,20",2019-09-26,2019-12-03,https://www.aruodas.lt/butai-vilniuje-snipiskese-tuskulenu-g-parduodamas-itin-skoningai-irengtas-2-ju-1-2789807/
