city,years,area,rooms,price,url
Klaipėdos m.,1934,71,3,102000,https://www.skelbiu.lt/skelbimai/jaukus-3-k-butas-klaipedos-senamiestyje-45106551.html
Klaipėdos m.,1985,65,2,71500,https://www.skelbiu.lt/skelbimai/parduodamas-2-ju-kambariu-butas-renovuotame-name-45106479.html
Lentvario m.,1977,51,2,55000,https://www.skelbiu.lt/skelbimai/parduodamas-butas-45104861.html
Klaipėdos m.,1994,"78,51",3,77000,https://www.skelbiu.lt/skelbimai/parduodamas-3k-butas-su-holu-varpu-g-20-45106093.html
Ziniūnų k.,1990,44,2,14500,https://www.skelbiu.lt/skelbimai/butas-2-kambariu-31428641.html
Kauno m.,1988,45,2,65500,https://www.skelbiu.lt/skelbimai/vertinantiems-kokybe-butas-prie-kauno-mariu-38394003.html
Panevėžio m.,1969,"20,40",1,13500,https://www.skelbiu.lt/skelbimai/butas-panevezyje-45103119.html
Kauno m.,1964,22,1,32400,https://www.skelbiu.lt/skelbimai/1-kambario-butas-kaunas-zaliakalnis-44631425.html
Kauno m.,1990,83,4,70000,https://www.skelbiu.lt/skelbimai/4-kambariu-butas-45091409.html
Marijampolės m.,1989,34,1,14600,https://www.skelbiu.lt/skelbimai/pigiai-parduodu-buta-45098789.html
Plungės m.,1982,34,1,27000,https://www.skelbiu.lt/skelbimai/parduodamas-1k-butas-45098267.html
Kauno m.,1965,44,2,58000,https://www.skelbiu.lt/skelbimai/parduodamas-irengtas-2-kamb-butas-zaliakalnyje-35822937.html
Klaipėdos m.,1968,51,2,45000,https://www.skelbiu.lt/skelbimai/geras-butas-parduodamas-jaukus-2-kambariu-butas-37538223.html
Vilniaus m.,1960,50,3,120000,https://www.skelbiu.lt/skelbimai/3-ju-kambariu-butas-uzupyje-paupio-g-42680289.html
Pakalniškių k.,1979,68,3,29000,https://www.skelbiu.lt/skelbimai/parduodamas-suremontuotas-3-k-butas-vievyje-44947341.html
Kretingos m.,1967,57,3,68000,https://www.skelbiu.lt/skelbimai/3-kambariu-butas-41967107.html
Alytaus m.,1984,52,2,42000,https://www.skelbiu.lt/skelbimai/parduodamas-2-kamb-butas-45091743.html
Anykščių m.,1974,"79,98",3,25000,https://www.skelbiu.lt/skelbimai/parduodamas-butas-45091577.html
Klaipėdos m.,1978,65,3,67000,https://www.skelbiu.lt/skelbimai/parduodamas-butas-klaipedoje-45090871.html
Kauno m.,1999,"82,99",4,66000,https://www.skelbiu.lt/skelbimai/parduodamas-tvarkingas-4-kambariu-butas-45090397.html
Kauno m.,1968,18,1,16500,https://www.skelbiu.lt/skelbimai/parduodamas-1k-bendrabucio-tipo-kambarys-40557275.html
Klaipėdos m.,1901,84,4,118500,https://www.skelbiu.lt/skelbimai/senamiestyje-klaipedoje-4-kambariu-butas-45089457.html
Kauno m.,1989,38,1,39000,https://www.skelbiu.lt/skelbimai/puikus-siltas-butas-45086539.html
Raseinių m.,1982,"50,98",2,29000,https://www.skelbiu.lt/skelbimai/parduodamas-2-kambariu-tvarkingas-butas-45086311.html
Klaipėdos m.,1988,"36,60",1,37000,https://www.skelbiu.lt/skelbimai/1-kambario-butas-klaipeda-45085291.html
Klaipėdos m.,1995,70,3,88000,https://www.skelbiu.lt/skelbimai/issimoketinai-geroje-vietoje-parduodu-3-ju-k-buta-44809337.html
Klaipėdos m.,1978,"52,60",2,55000,https://www.skelbiu.lt/skelbimai/parduodamas-45084297.html
Kauno m.,1936,62,3,30000,https://www.skelbiu.lt/skelbimai/62kv-m-triju-kambariu-butas-45079647.html
Vilniaus m.,2007,"62,72",2,93000,https://www.skelbiu.lt/skelbimai/parduodamas-2-ju-kambariu-butas-pasilaiciu-mikr-43119195.html
Klaipėdos m.,1978,12,1,9900,https://www.skelbiu.lt/skelbimai/kambarys-centre-40543115.html
Kalnelio Gražionių k.,1992,"42,40",2,10000,https://www.skelbiu.lt/skelbimai/parduodamas-butas-45080293.html
Kauno m.,1960,42,2,56900,https://www.skelbiu.lt/skelbimai/parduodamas-butas-name-21321141.html
Telšių m.,1988,"38,10",1,22000,https://www.skelbiu.lt/skelbimai/1-kambario-butas-45078701.html
Kauno m.,1990,34,1,20500,https://www.skelbiu.lt/skelbimai/jaukus-butas-salia-kliniku-45078015.html
Kauno m.,1987,51,2,43000,https://www.skelbiu.lt/skelbimai/parduodamas-dvieju-kambariu-butas-silainiuose-44390111.html
Alytaus m.,1988,34,1,36000,https://www.skelbiu.lt/skelbimai/naujai-irengtas-butas-su-visais-baldais-vidzgiryje-45023231.html
