city,years,area,price,avg_heat_per_m,url
Vilnius,2017,74,139990,,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-smolensko-g-kokybiskai-ir-stilingai-irengtas-loftas-1-2797987/
Vilnius,2003,85,175000,,https://www.aruodas.lt/butai-vilniuje-zveryne-lusiu-g-parduodamas-triju-kambariu-butas-zveryne-1-2798921/
Vilnius,2009,53,87000,"28,09",https://www.aruodas.lt/butai-vilniuje-pasilaiciuose-laisves-pr-parduodamas-2-kambariu-5326-kvm-butas-1-2799579/
Klaipėda,2018,132,150500,,https://www.aruodas.lt/butai-klaipedoje-centre-birutes-g-gyvenamasis-loftas-miesto-centre-1-2786619/
Vilnius,2003,85,175000,,https://www.aruodas.lt/butai-vilniuje-zveryne-lusiu-g-parduodamas-dvieju-kambariu-butas-su-1-2798785/
Šiauliai,1957,64,72000,"77,44",https://www.aruodas.lt/butai-siauliuose-centre-p-cvirkos-g-siauliu-miesto-centrineje-dalyje-pcvirkos-g-1-2784073/
Neringos m.,1990,"19,21",52000,,https://www.aruodas.lt/butai-neringoje-kalno-g-parduodamas-pilnai-irengtas-bustas-poilsio-1-2800047/
Kaunas,1969,"47,59",43000,"25,70",https://www.aruodas.lt/butai-kaune-dainavoje-v-kreves-pr-parduodamas-2-ju-kambariu-tvarkingas-butas-1-2799373/
Kaunas,1970,48,57900,"24,96",https://www.aruodas.lt/butai-kaune-dainavoje-v-kreves-pr-po-kapitalinio-remonto-naturaliai-atrodo-kur-1-2792667/
Neringos m.,1990,"28,73",110000,,https://www.aruodas.lt/butai-neringoje-kalno-g-parduodamas-pilnai-irengtas-naujos-statybos-1-2742975/
Neringos m.,1986,"30,49",112000,,https://www.aruodas.lt/butai-neringoje-pervalkos-g-parduodamas-dvieju-kambariu-butas-su-pilna-1-2737991/
Neringos m.,1990,"39,71",87500,,https://www.aruodas.lt/butai-neringoje-kalno-g-parduodamas-pilnai-irengtas-bustas-1-2742885/
Panevėžys,1964,"43,2",30500,"26,35",https://www.aruodas.lt/butai-panevezyje-centre-algirdo-g-parduodamas-tvarkingas-2-k-butas-miesto-1-2769365/
Palanga,2001,"70,67",91000,,https://www.aruodas.lt/butai-palangoje-sermiescio-g-skubiai-parduodamas-irengtas-7067-kvm-3-1-2603413/
Palanga,2013,"129,29",640000,,https://www.aruodas.lt/butai-palangoje-birutes-al-parduodamas-prabangiai-irengtas-129-kvm-3-1-2579879/
Palanga,2013,"128,99",820000,,https://www.aruodas.lt/butai-palangoje-birutes-al-parduodamas-prabangiai-irengtas-12899-kvm-1-2640381/
