city,years,area,price,avg_heat_per_m,url
Vilniaus m.,1992,"70,10",74500,,https://www.skelbiu.lt/skelbimai/butai-pardavimui-44171469.html
Šeduvos m.,1960,"47,07",9500,,https://www.skelbiu.lt/skelbimai/parduodamas-3-kambariu-butas-seduvoje-44171281.html
Šilalės m.,1951,"43,05",45000,,https://www.skelbiu.lt/skelbimai/parduodamas-jaukus-2-k-butas-su-papildoma-patalpa-44171017.html
Klaipėdos m.,1991,55,42000,,https://www.skelbiu.lt/skelbimai/parduodamas-butas-44170255.html
Kauno m.,1992,82,65900,,https://www.skelbiu.lt/skelbimai/erdvus-irengtas-4-kambariu-butas-44169501.html
Klaipėdos m.,1977,23,11000,,https://www.skelbiu.lt/skelbimai/vieno-kambario-butas-pirmas-aukstas-44169431.html
Alytaus m.,1992,66,40000,,https://www.skelbiu.lt/skelbimai/triju-kambariu-butas-44168609.html
Bijutiškio k.,1975,72,39000,,https://www.skelbiu.lt/skelbimai/parduodamas-erdvus-butas-44168165.html
Kužių mstl.,1968,21,10000,,https://www.skelbiu.lt/skelbimai/1-kambario-butas-kuziuose-44168049.html
Vilniaus m.,1985,50,73000,,https://www.skelbiu.lt/skelbimai/parduodamas-2-kamb-butas-justiniskese-vilnius-44168097.html
Klaipėdos m.,1952,88,62500,,https://www.skelbiu.lt/skelbimai/4-k-butas-per-2-aukstus-klaipeda-zvejybos-uostas-41369933.html
Taurų k.,1960,"68,50",12000,,https://www.skelbiu.lt/skelbimai/parduodami-butai-44165967.html
Kauno m.,1982,"50,21",58000,,https://www.skelbiu.lt/skelbimai/skubiai-parduodamas-2-kamabariu-butas-44165607.html
Telšių m.,1987,40,19600,,https://www.skelbiu.lt/skelbimai/parduodamas-2-kambariu-butas-44161559.html
Palangos m.,1982,53,53000,,https://www.skelbiu.lt/skelbimai/savininke-2-k-butas-palangoje-domina-keitimas-39671241.html
Kauno m.,1988,"49,51",66666,,https://www.skelbiu.lt/skelbimai/parduodamas-2-ju-k-butas-ateini-ir-gyveni-44058121.html
Plungės m.,1963,"29,49",25000,,https://www.skelbiu.lt/skelbimai/parduodamas-butas-44158139.html
Kalviškių k.,1964,37,27000,,https://www.skelbiu.lt/skelbimai/vieno-kambario-skubiai-kaina-derinama-33620391.html
Tarvydų k.,1989,50,14000,,https://www.skelbiu.lt/skelbimai/2-ju-kambariu-butas-44157827.html
Klaipėdos m.,1970,49,54500,,https://www.skelbiu.lt/skelbimai/parduodu-2-ju-kambariu-buta-klaipeda-44157625.html
Klaipėdos m.,2015,101,199000,,https://www.skelbiu.lt/skelbimai/butas-tauralaukyje-44155061.html
Ukmergės m.,1985,50,29000,,https://www.skelbiu.lt/skelbimai/parduodamas-2-kambariu-butas-jaunimo-g-43569289.html
Vilniaus m.,2004,39,67000,,https://www.skelbiu.lt/skelbimai/be-tarpininku-30114689.html
Kauno m.,1972,44,49000,,https://www.skelbiu.lt/skelbimai/parduodamas-2-kambariu-butas-44154561.html
Jonavos m.,1969,"58,27",59000,,https://www.skelbiu.lt/skelbimai/3-ju-kambariu-butas-prie-savivaldybes-44154167.html
Pasvalio m.,1967,37,5500,,https://www.skelbiu.lt/skelbimai/parduodamas-butas-44153781.html
Kalvarijos m.,1985,47,14000,,https://www.skelbiu.lt/skelbimai/parduodu-2-kambariu-buta-kalvarijoje-44152819.html
Vilniaus m.,1989,68,73000,,https://www.skelbiu.lt/skelbimai/vilnius-pasilaiciai-zemynos-g-3-kambariu-butas-44152263.html
Kauno m.,1930,"36,68",33000,,https://www.skelbiu.lt/skelbimai/parduodamas-2-kamb-butas-zaliakalnyje-44150911.html
Druskininkų m.,1975,65,67000,,https://www.skelbiu.lt/skelbimai/parduodamas-3-kambariu-butas-42161301.html
Alytaus m.,1970,47,25000,,https://www.skelbiu.lt/skelbimai/butas-2-kambariai-44148951.html
Šilutės m.,1977,"61,19",39000,,https://www.skelbiu.lt/skelbimai/parduodamas-3-kambariu-butas-siluteje-44148447.html
Tribonių k.,1980,53,32000,,https://www.skelbiu.lt/skelbimai/parduodamas-butas-44148449.html
Palangos m.,2003,63,83000,,https://www.skelbiu.lt/skelbimai/parduodu-arba-keiciu-43581573.html
Panevėžio m.,1969,"72,24",68000,,https://www.skelbiu.lt/skelbimai/isskirtinis-erdvus-butas-su-daug-privalumu-44148353.html
Plungės m.,1987,47,55000,,https://www.skelbiu.lt/skelbimai/butas-44148181.html
Pagrynių k.,1992,61,25000,,https://www.skelbiu.lt/skelbimai/skubiai-parduodame-buta-pagryniu-k-3k-42440013.html
Kėdainių m.,1983,50,40000,,https://www.skelbiu.lt/skelbimai/parduodamas-butas-pelningas-verslas-25315673.html
Vilniaus m.,1969,49,75000,,https://www.skelbiu.lt/skelbimai/parduodu-2-ju-kambariu-buta-44144643.html
Klaipėdos m.,1970,34,34999,,https://www.skelbiu.lt/skelbimai/taikos-pr-priesais-egles-turgu-43466715.html
Klaipėdos m.,1971,47,58000,,https://www.skelbiu.lt/skelbimai/savininkas-parduoda-prie-akropolio-2k-buta-43574557.html
Mažeikių m.,1987,50,21900,,https://www.skelbiu.lt/skelbimai/skubiai-parduodu-2k-buta-4a-ventos-g-43547841.html
Šalčininkų m.,1981,49,48000,,https://www.skelbiu.lt/skelbimai/parduodamas-2-kambariu-butas-salcininku-centre-44142937.html
Klaipėdos m.,1975,55,67000,,https://www.skelbiu.lt/skelbimai/centras-sausio-15-sios-g-3-kambariu-butas-41053589.html
Vilainių k.,1977,30,17000,,https://www.skelbiu.lt/skelbimai/vieno-kambario-butas-42937855.html
Klaipėdos m.,2010,100,400,,https://www.skelbiu.lt/skelbimai/butu-nuoma-44140195.html
Klaipėdos m.,1972,47,57900,,https://www.skelbiu.lt/skelbimai/geras-butas-geroje-vietoje-41263213.html
Mažeikių m.,1992,57,22800,,https://www.skelbiu.lt/skelbimai/su-holu-balkonu-baldais-ir-buitine-technika-39430665.html
Naujosios Akmenės m.,1970,"33,07",6500,,https://www.skelbiu.lt/skelbimai/vieno-kambario-butas-n-akmeneje-44138623.html
Kazlų Rūdos m.,1975,"72,63",26000,,https://www.skelbiu.lt/skelbimai/tvarkingas-3-kambariu-butas-kazlu-rudoje-44137607.html
Klaipėdos m.,1989,32,25500,,https://www.skelbiu.lt/skelbimai/keiciu-parduodu-bendrabucio-tipo-buta-klaipedoje-44121749.html
Panevėžio m.,1968,44,44000,,https://www.skelbiu.lt/skelbimai/parduodamas-tvarkingas-2-k-butas-tulpiu-raj-43524217.html
Šiaulių m.,1980,65,61000,,https://www.skelbiu.lt/skelbimai/parduodamas-naujai-suremontuotas-3-k-butas-44136737.html
Biržų m.,1987,"75,22",29000,,https://www.skelbiu.lt/skelbimai/parduodamas-2-kambariu-butas-44136395.html
Klaipėdos m.,1980,89,58000,,https://www.skelbiu.lt/skelbimai/jaukus-butas-44136339.html
Tytuvėnų m.,1969,51,11000,,https://www.skelbiu.lt/skelbimai/parduodamas-butas-44135157.html
Jonavos m.,1980,52,12500,,https://www.skelbiu.lt/skelbimai/parduodu-skubiai-41656791.html
Kauno m.,1970,"26,45",41000,,https://www.skelbiu.lt/skelbimai/parduodamas-1-kambario-butas-su-rusiu-43542307.html
Pažagienių k.,1991,25,16000,,https://www.skelbiu.lt/skelbimai/parduodamas-1k-butas-pazagieniuose-44133979.html
Gargždų m.,1981,90,59000,,https://www.skelbiu.lt/skelbimai/erdvus-4-k-butas-3-aukstas-gargzdu-m-44133589.html
